,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
749349,2016,Property Damage & Injury Accident,2016-07-27,ONEONTA,OTHER,OTSEGO,Straight at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749350,2016,Property Damage & Injury Accident,2016-07-17,MIDDLETOWN,OTHER,DELAWARE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749353,2016,Property Damage Accident,2016-07-02,MIDDLETOWN,OTHER,DELAWARE,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749355,2016,Injury Accident,2016-07-25,GERMAN FLATTS,OTHER,HERKIMER,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749357,2016,Property Damage Accident,2016-07-24,SHERBURNE,OTHER,CHENANGO,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749360,2016,Property Damage Accident,2016-07-26,WORCESTER,OTHER,OTSEGO,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749367,2016,Injury Accident,2016-07-16,COLUMBIA,OTHER,HERKIMER,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749403,2016,Property Damage & Injury Accident,2016-07-25,WAWAYANDA,OTHER,ORANGE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749409,2016,Injury Accident,2016-07-19,DEERPARK,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749485,2016,Injury Accident,2016-07-20,FORT ANN,OTHER,WASHINGTON,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749515,2016,Injury Accident,2016-07-23,LINCOLN,OTHER,MADISON,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749549,2016,Property Damage Accident,2016-07-29,GENESEO,OTHER,LIVINGSTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749748,2016,Injury Accident,2016-07-28,AURORA,OTHER,ERIE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749766,2016,Property Damage & Injury Accident,2016-07-27,HERKIMER,OTHER,HERKIMER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749782,2016,Property Damage Accident,2016-07-21,FRANKLIN,OTHER,DELAWARE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749801,2016,Property Damage & Injury Accident,2016-07-18,COLUMBIA,OTHER,HERKIMER,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749811,2016,Property Damage Accident,2016-07-22,WOLCOTT,OTHER,WAYNE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749830,2016,Property Damage Accident,2016-07-24,LA GRANGE,OTHER,DUTCHESS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749853,2016,Property Damage Accident,2016-07-23,CANISTEO,OTHER,STEUBEN,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749879,2016,Property Damage Accident,2016-07-27,HARFORD,OTHER,CORTLAND,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749881,2016,Property Damage & Injury Accident,2016-07-24,ALMOND,OTHER,ALLEGANY,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749883,2016,Property Damage Accident,2016-07-11,CLARKSVILLE,OTHER,ALLEGANY,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749905,2016,Property Damage Accident,2016-07-22,MONTGOMERY,OTHER,ORANGE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749950,2016,Property Damage Accident,2016-07-27,MOREAU,OTHER,SARATOGA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
749967,2016,Property Damage & Injury Accident,2016-07-28,CASTILE,OTHER,WYOMING,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750140,2016,Property Damage & Injury Accident,2016-07-28,RAMAPO,OTHER,ROCKLAND,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750144,2016,Injury Accident,2016-07-27,HEMPSTEAD,OTHER,NASSAU,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750166,2016,Property Damage & Injury Accident,2016-07-26,CHENANGO,OTHER,BROOME,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750170,2016,Property Damage Accident,2016-07-24,MARCELLUS,OTHER,ONONDAGA,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750179,2016,Property Damage Accident,2016-07-27,ONONDAGA,OTHER,ONONDAGA,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750191,2016,Injury Accident,2016-07-30,INDIAN LAKE,OTHER,HAMILTON,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750212,2016,Property Damage Accident,2016-07-27,ORWELL,OTHER,OSWEGO,Curve at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750222,2016,Property Damage & Injury Accident,2016-07-28,CORTLANDT,OTHER,WESTCHESTER,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750249,2016,Injury Accident,2016-07-26,CORTLANDT,OTHER,WESTCHESTER,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750250,2016,Property Damage Accident,2016-07-30,FRANKLINVILLE,OTHER,CATTARAUGUS,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750534,2016,Property Damage Accident,2016-06-17,CATT.,OTHER,ERIE,Unknown,Unknown,Unknown,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750693,2016,Property Damage & Injury Accident,2016-07-29,WILSON,OTHER,NIAGARA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750709,2016,Property Damage & Injury Accident,2016-07-30,GLEN,OTHER,MONTGOMERY,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750756,2016,Property Damage & Injury Accident,2016-07-30,NILES,OTHER,CAYUGA,Curve and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750759,2016,Property Damage Accident,2016-07-30,STERLING,OTHER,CAYUGA,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750764,2016,Property Damage Accident,2016-07-31,CLARKSTOWN,OTHER,ROCKLAND,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750774,2016,Property Damage Accident,2016-07-30,LE RAY,OTHER,JEFFERSON,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750883,2016,Property Damage Accident,2016-07-27,STOCKBRIDGE,OTHER,MADISON,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750951,2016,Property Damage Accident,2016-07-30,GRANVILLE,OTHER,WASHINGTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
750981,2016,Property Damage & Injury Accident,2016-07-20,TONAWANDA,OTHER,ERIE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751086,2016,Property Damage Accident,2016-07-23,PENFIELD,OTHER,MONROE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751334,2016,Property Damage Accident,2016-07-09,NEW YORK,OTHER,NEW YORK,Unknown,Unknown,Unknown,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751629,2016,Property Damage Accident,2016-07-23,NEW BREMEN,OTHER,LEWIS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751729,2016,Property Damage Accident,2016-08-01,VESTAL,OTHER,BROOME,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751750,2016,Property Damage & Injury Accident,2016-07-31,GOSHEN,OTHER,ORANGE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751847,2016,Property Damage & Injury Accident,2016-07-30,ALDEN,OTHER,ERIE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751900,2016,Property Damage Accident,2016-07-30,OGDEN,OTHER,MONROE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751925,2016,Property Damage Accident,2016-07-26,SHARON,OTHER,SCHOHARIE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751932,2016,Property Damage & Injury Accident,2016-07-22,SCHUYLER,OTHER,HERKIMER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
751995,2016,Property Damage & Injury Accident,2016-07-14,GRAND ISLAND,OTHER,ERIE,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752008,2016,Property Damage & Injury Accident,2016-07-31,HARTFORD,OTHER,WASHINGTON,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752025,2016,Property Damage & Injury Accident,2016-07-31,ALBANY,OTHER,ALBANY,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752032,2016,Property Damage Accident,2016-07-30,VIRGIL,OTHER,CORTLAND,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752035,2016,Property Damage & Injury Accident,2016-07-30,CICERO,OTHER,ONONDAGA,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752040,2016,Property Damage & Injury Accident,2016-07-24,FISHKILL,OTHER,DUTCHESS,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752442,2016,Property Damage Accident,2016-06-07,QUEENS,OTHER,QUEENS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752637,2016,Property Damage & Injury Accident,2016-07-26,GORHAM,OTHER,ONTARIO,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752672,2016,Property Damage & Injury Accident,2016-07-30,NEW HARTFORD,OTHER,ONEIDA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752687,2016,Property Damage Accident,2016-07-30,SOUTHEAST,OTHER,PUTNAM,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752710,2016,Property Damage Accident,2016-07-30,STILLWATER,OTHER,SARATOGA,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752723,2016,Property Damage & Injury Accident,2016-07-20,POUGHKEEPSIE,OTHER,DUTCHESS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752763,2016,Property Damage & Injury Accident,2016-07-28,WARWICK,OTHER,ORANGE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752770,2016,Property Damage & Injury Accident,2016-07-27,DEERPARK,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752775,2016,Property Damage & Injury Accident,2016-07-18,CLARENDON,OTHER,ORLEANS,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752786,2016,Property Damage Accident,2016-07-16,SHERIDAN,OTHER,CHAUTAUQUA,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752794,2016,Property Damage Accident,2016-07-31,DOVER,OTHER,DUTCHESS,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752932,2016,Property Damage Accident,2016-08-02,AMHERST,OTHER,ERIE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752945,2016,Property Damage & Injury Accident,2016-07-04,EVANS,OTHER,ERIE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
752978,2016,Property Damage & Injury Accident,2016-07-27,FENTON,OTHER,BROOME,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753007,2016,Property Damage & Injury Accident,2016-07-31,STILLWATER,OTHER,SARATOGA,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753036,2016,Property Damage Accident,2016-08-02,RICHLAND,OTHER,OSWEGO,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753037,2016,Property Damage Accident,2016-07-30,SANDY CREEK,OTHER,OSWEGO,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753046,2016,Property Damage & Injury Accident,2016-07-25,JEWETT,OTHER,GREENE,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753070,2016,Property Damage Accident,2016-07-29,WEBSTER,OTHER,MONROE,Curve at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753566,2016,Property Damage & Injury Accident,2016-06-11,WARWICK,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753722,2016,Property Damage Accident,2016-07-07,HIGHLANDS,OTHER,ORANGE,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753801,2016,Property Damage & Injury Accident,2016-07-29,DRYDEN,OTHER,TOMPKINS,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753824,2016,Property Damage Accident,2016-07-30,WESTERLO,OTHER,ALBANY,Curve at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753826,2016,Property Damage Accident,2016-08-02,WEBB,OTHER,HERKIMER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
753855,2016,Property Damage Accident,2016-07-23,MACHIAS,OTHER,CATTARAUGUS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754053,2016,Property Damage & Injury Accident,2016-07-25,CHAMPLAIN,OTHER,CLINTON,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754055,2016,Property Damage Accident,2016-07-28,CHAMPLAIN,OTHER,CLINTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754077,2016,Property Damage Accident,2016-07-27,MAMAKATING,OTHER,SULLIVAN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754120,2016,Property Damage & Injury Accident,2016-08-02,BABYLON,OTHER,SUFFOLK,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754131,2016,Property Damage & Injury Accident,2016-07-27,NEWCOMB,OTHER,ESSEX,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754466,2016,Property Damage Accident,2016-07-31,YORKTOWN,OTHER,WESTCHESTER,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754470,2016,Property Damage Accident,2016-07-30,YORKTOWN,OTHER,WESTCHESTER,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754480,2016,Property Damage Accident,2016-07-18,CORNWALL,OTHER,ORANGE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754484,2016,Property Damage & Injury Accident,2016-07-19,CORNWALL,Unknown,ORANGE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
754499,2016,Property Damage & Injury Accident,2016-06-30,CORNWALL,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754577,2016,Property Damage & Injury Accident,2016-08-03,COLONIE,OTHER,ALBANY,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754593,2016,Property Damage Accident,2016-07-31,MARSHALL,OTHER,ONEIDA,Curve and Grade,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754624,2016,Property Damage & Injury Accident,2016-08-03,NORTH CASTLE,OTHER,WESTCHESTER,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754638,2016,Property Damage & Injury Accident,2016-08-01,THOMPSON,OTHER,SULLIVAN,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754687,2016,Property Damage Accident,2016-07-31,CHESTER,OTHER,ORANGE,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754697,2016,Property Damage Accident,2016-08-03,NEW ALBION,OTHER,CATTARAUGUS,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754713,2016,Property Damage & Injury Accident,2016-08-01,KIRKWOOD,OTHER,BROOME,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754714,2016,Property Damage & Injury Accident,2016-07-16,OWASCO,OTHER,CAYUGA,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754718,2016,Property Damage & Injury Accident,2016-08-01,FREEDOM,OTHER,CATTARAUGUS,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754744,2016,Property Damage & Injury Accident,2016-07-25,CINCINNATUS,OTHER,CORTLAND,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754898,2016,Property Damage Accident,2016-08-03,ANDES,OTHER,DELAWARE,Curve and Grade,Clear,Other,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754900,2016,Property Damage & Injury Accident,2016-07-23,STOCKBRIDGE,OTHER,MADISON,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754907,2016,Property Damage & Injury Accident,2016-08-01,OYSTER BAY,OTHER,NASSAU,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754919,2016,Property Damage Accident,2016-07-18,TULLY,OTHER,ONONDAGA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754945,2016,Property Damage Accident,2016-07-31,VOLNEY,OTHER,OSWEGO,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754946,2016,Property Damage Accident,2016-08-03,BATH,OTHER,STEUBEN,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
754968,2016,Property Damage Accident,2016-08-03,EAST FISHKILL,OTHER,DUTCHESS,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755000,2016,Property Damage & Injury Accident,2016-06-23,GREENWICH,OTHER,WASHINGTON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755021,2016,Property Damage Accident,2016-07-27,WHEATLAND,OTHER,MONROE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755029,2016,Property Damage Accident,2016-08-02,CHILI,OTHER,MONROE,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755078,2016,Property Damage Accident,2016-07-27,PARISH,OTHER,OSWEGO,Straight at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755105,2016,Property Damage Accident,2016-07-31,PUTNAM VALLEY,OTHER,PUTNAM,Curve at Hill Crest,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755118,2016,Property Damage Accident,2016-07-31,NEWFIELD,OTHER,TOMPKINS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755203,2016,Property Damage & Injury Accident,2016-07-23,HYDE PARK,OTHER,DUTCHESS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755207,2016,Property Damage & Injury Accident,2016-08-01,HYDE PARK,OTHER,DUTCHESS,Straight and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755321,2016,Property Damage Accident,2016-07-19,HUNTINGTON,OTHER,SUFFOLK,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755453,2016,Property Damage Accident,2016-07-14,MADISON,OTHER,MADISON,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755458,2016,Property Damage Accident,2016-07-29,BERLIN,OTHER,RENSSELAER,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755468,2016,Property Damage & Injury Accident,2016-08-03,MAINE,OTHER,BROOME,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755493,2016,Property Damage & Injury Accident,2016-08-01,TULLY,OTHER,ONONDAGA,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755512,2016,Property Damage Accident,2016-07-27,CORTLANDT,OTHER,WESTCHESTER,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755545,2016,Property Damage Accident,2016-08-02,MACHIAS,OTHER,CATTARAUGUS,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755581,2016,Injury Accident,2016-08-04,SULLIVAN,OTHER,MADISON,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755635,2016,Property Damage & Injury Accident,2016-08-04,SAUGERTIES,OTHER,ULSTER,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755642,2016,Property Damage Accident,2016-08-02,NISKAYUNA,OTHER,SCHENECTADY,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755701,2016,Property Damage Accident,2016-08-01,CORTLANDVILLE,OTHER,CORTLAND,Straight and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755751,2016,Property Damage & Injury Accident,2016-08-06,HUNTINGTON,OTHER,SUFFOLK,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755810,2016,Property Damage Accident,2016-07-28,BEEKMANTOWN,OTHER,CLINTON,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755822,2016,Injury Accident,2016-08-04,ALDEN,OTHER,ERIE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755826,2016,Property Damage Accident,2016-07-20,MAINE,OTHER,BROOME,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755874,2016,Property Damage & Injury Accident,2016-08-04,GRANBY,OTHER,OSWEGO,Curve at Hill Crest,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
755905,2016,Injury Accident,2016-08-05,CORTLANDT,OTHER,WESTCHESTER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756349,2016,Injury Accident,2016-06-12,BETHEL,OTHER,SULLIVAN,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756369,2016,Property Damage & Injury Accident,2016-07-14,NEW WINDSOR,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756381,2016,Property Damage Accident,2016-06-21,BUSTI,OTHER,CHAUTAUQUA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756389,2016,Property Damage & Injury Accident,2016-07-11,ISLIP,OTHER,SUFFOLK,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756588,2016,Property Damage & Injury Accident,2016-08-04,WILSON,OTHER,NIAGARA,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756619,2016,Property Damage & Injury Accident,2016-08-06,CORINTH,OTHER,SARATOGA,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756642,2016,Property Damage & Injury Accident,2016-08-03,GALEN,OTHER,WAYNE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756654,2016,Property Damage Accident,2016-08-06,BARKER,OTHER,BROOME,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756655,2016,Property Damage Accident,2016-08-07,WINDSOR,OTHER,BROOME,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756665,2016,Property Damage Accident,2016-08-02,BROADALBIN,OTHER,FULTON,Curve and Grade,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756805,2016,Property Damage Accident,2016-08-04,NEWFANE,OTHER,NIAGARA,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
756844,2016,Property Damage & Injury Accident,2016-08-06,FLEMING,OTHER,CAYUGA,Straight and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
